"","COUNTYNAME","英文土系名","中文土系名","母質種類","土壤特性","土壤形態","排水等級","石灰性","坡度","表土酸鹼性","第一層質地","第二層質地","第三層質地","第四層質地","面積","周長"
"16309","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","5","11","11","11",1409910.516,11341.509
"16310","屏東縣","Lk","路口厝系","21","15","1","2","3","1","6","5","2","1","1",20251.976,850.686
"16311","屏東縣","Wa","萬合系","21","15","1","2","3","1","7","6","5","5","3",109368.138,1687.224
"16312","屏東縣","Lk","路口厝系","21","15","1","2","3","1","6","3","2","1","1",36119.562,1631.575
"16313","屏東縣","Ct","周厝崙系","21","15","1","2","3","1","7","3","3","2","2",118988.031,2464.246
"16314","屏東縣","Lk","路口厝系","21","15","1","2","3","1","6","3","2","1","1",114278.565,1690.039
"16315","屏東縣","Lk","路口厝系","21","15","1","2","3","1","6","5","2","1","1",74872.26,1355.609
"16316","屏東縣","Ti","德協系","21","14","1","1","15","1","4","5","5","11","11",73766.296,1148.867
"16317","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","6","11","11","11",273366.531,3337.856
"16318","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","4","5","5","5",70305.695,1057.884
"16319","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","3","11","11","11",656778.531,7072.298
"16320","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","5","11","11","11",8652.043,500.101
"16321","屏東縣","Ti","德協系","21","14","1","1","15","1","4","6","5","11","11",39770.294,1021.722
"16322","屏東縣","Sw","水尾系","21","15","1","1","3","1","8","3","3","4","5",101396.293,1265.005
"16323","屏東縣","Ti","德協系","21","14","1","1","15","1","4","3","5","11","11",189599.716,2597.763
"16324","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","6","11","11","11",724889.71,4769.55
"16325","屏東縣","Ct","周厝崙系","21","15","1","2","3","1","7","3","3","2","2",394652.731,3208.703
"16326","屏東縣","Cj","洲子系","21","14","1","1","15","1","4","5","5","5","5",60379.223,1039.596
"16327","屏東縣","Lk","路口厝系","21","15","1","2","3","1","6","3","2","1","1",96797.952,1754.059
"16328","屏東縣","Kh","管嶼厝系","21","16","1","2","15","1","6","3","3","3","3",16502.363,929.505
"16329","屏東縣","Ss","沙山系","21","16","1","2","3","1","7","5","2","2","2",146821.69,1600.209
"16330","屏東縣","Kh","管嶼厝系","21","16","1","2","15","1","6","3","3","3","3",135437.222,1720.779
"16331","屏東縣","Kh","管嶼厝系","21","16","1","2","15","1","6","6","3","3","3",300803.558,2912.437
"16332","屏東縣","Sc","石光見系","21","14","1","2","15","1","5","5","5","5","11",194295.537,2005.134
"16333","屏東縣","Ti","德協系","21","14","1","1","15","1","4","5","5","11","11",88620.021,1593.648
"16334","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",42397.682,1040.339
"16335","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",76020.033,1136.284
"16336","屏東縣","Kh","管嶼厝系","21","16","1","2","15","1","6","3","3","3","3",66520.28,1522.383
"16337","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",868718.577,10001.508
"16338","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",926070.705,7004.893
"16339","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","3","11","11","11",24304.666,739.585
"16340","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",437428.35,4718.353
"16341","屏東縣","Cd","崇蘭系","21","14","1","1","15","1","4","5","5","5","3",110398.423,1819.77
"16342","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","5","11","11","11",12952.54,694.489
